rank,self,accum,count,method,trace
246,0.02%,90.75%,30,java.lang.AbstractStringBuilder.appendCodePoint,30169
247,0.02%,90.77%,30,java.lang.Character.isLowerCase,30172
248,0.02%,90.79%,30,java.util.Arrays.copyOfRange,30183
249,0.02%,90.81%,30,java.lang.System.arraycopy,30217
250,0.02%,90.83%,30,org.python.core.PyInteger.int___sub__,30254
251,0.02%,90.86%,29,org.python.core.PyList.list___init__,30157
252,0.02%,90.88%,29,org.python.core.PyUnicode.unicode_title,30171
253,0.02%,90.90%,29,sun.misc.Unsafe.getIntVolatile,30183
254,0.02%,90.92%,29,java.lang.Object.getClass,30184
255,0.02%,90.94%,28,java.util.ArrayList$SubList$1.next,30130
256,0.02%,90.96%,28,org.python.core.Py.newInteger,30147
257,0.02%,90.98%,28,java.lang.System.arraycopy,30158
258,0.02%,91.00%,28,java.lang.CharacterData.of,30174
259,0.02%,91.02%,28,java.lang.CharacterData.of,30210
260,0.02%,91.04%,27,org.python.core.PyInteger.getValue,30153
261,0.02%,91.06%,27,java.lang.CharacterData00.getProperties,30177
262,0.02%,91.08%,27,org.python.core.Py.newInteger,30201
263,0.02%,91.10%,27,java.util.Arrays.copyOfRange,30216
264,0.02%,91.12%,26,java.lang.AbstractStringBuilder.<init>,30115
265,0.02%,91.14%,26,org.python.core.PyFrame.<init>,30119
266,0.02%,91.16%,26,Lists$py.test$8,30156
267,0.02%,91.18%,26,java.lang.CharacterData00.getPropertiesEx,30171
268,0.02%,91.19%,26,java.lang.CharacterDataLatin1.getProperties,30173
269,0.02%,91.21%,26,java.lang.CharacterData00.getProperties,30175
270,0.02%,91.23%,26,java.lang.Object.getClass,30183
271,0.02%,91.25%,26,java.util.Arrays.copyOf,30185
272,0.02%,91.27%,25,Calls$py.test$13,30113
273,0.02%,91.29%,25,java.lang.System.arraycopy,30119
274,0.02%,91.31%,25,java.lang.Character.isBmpCodePoint,30172
275,0.02%,91.32%,25,org.python.core.PyObject.__call__,30185
276,0.02%,91.34%,25,java.util.ArrayList.elementData,30206
277,0.02%,91.36%,25,org.python.core.PyUnicode$SubsequenceIteratorBasic.next,30241
278,0.02%,91.38%,24,java.lang.System.arraycopy,30110
279,0.02%,91.40%,24,sun.misc.Unsafe.compareAndSwapInt,30119
280,0.02%,91.41%,24,java.lang.String.concat,30122
281,0.02%,91.43%,24,java.lang.CharacterData.of,30170
282,0.02%,91.45%,24,java.util.ArrayList.elementData,30206
283,0.02%,91.47%,24,java.lang.String.charAt,30212
284,0.02%,91.48%,24,java.util.Arrays.copyOfRange,30213
285,0.02%,91.50%,23,org.python.core.__builtin__.range,30110
286,0.02%,91.52%,23,java.util.Arrays.copyOfRange,30113
287,0.02%,91.53%,23,org.python.core.PyInteger.int___sub__,30144
288,0.02%,91.55%,23,java.lang.CharacterDataLatin1.getProperties,30171
289,0.02%,91.57%,23,sun.misc.Unsafe.getDoubleVolatile,30182
290,0.02%,91.58%,22,java.lang.ClassLoader.defineClass1,30007
291,0.02%,91.60%,22,java.lang.System.arraycopy,30092
292,0.02%,91.61%,22,java.lang.Object.getClass,30115
293,0.02%,91.63%,22,java.util.ArrayList$SubList$1.next,30129
294,0.02%,91.65%,22,java.util.ArrayList$SubList$1.next,30130
295,0.02%,91.66%,22,sun.misc.Unsafe.compareAndSwapLong,30139
296,0.02%,91.68%,22,org.python.core.PyInteger.getValue,30146
297,0.02%,91.69%,22,org.python.core.SequenceIndexDelegate.fixindex,30153
298,0.02%,91.71%,22,java.lang.CharacterDataLatin1.toUpperCaseEx,30168
299,0.02%,91.73%,22,With$py.test$17,30184
300,0.02%,91.74%,21,org.python.core.PyString.__tojava__,30136
301,0.02%,91.76%,21,org.python.core.PyComplex.canCoerce,30137
302,0.02%,91.77%,21,org.python.core.PyInteger._sub,30144
303,0.02%,91.79%,21,org.python.core.PyBoolean.getBooleanValue,30150
304,0.02%,91.80%,21,java.util.ArrayList.set,30153
305,0.02%,91.82%,21,java.lang.String.charAt,30162
306,0.02%,91.83%,21,java.lang.Character.getType,30169
307,0.02%,91.85%,21,java.lang.CharacterDataLatin1.toLowerCase,30170
308,0.02%,91.86%,21,java.lang.CharacterData00.getProperties,30175
309,0.02%,91.88%,21,org.python.core.__builtin__.range,30185
310,0.02%,91.90%,21,Calls$py.test$13,30186
311,0.02%,91.91%,21,org.python.core.SequenceIndexDelegate.fixindex,30236
312,0.01%,91.93%,20,org.python.core.__builtin__.range,30110
313,0.01%,91.94%,20,org.python.core.__builtin__.range,30111
314,0.01%,91.95%,20,java.lang.Object.getClass,30116
315,0.01%,91.97%,20,org.python.core.PyInteger.getValue,30144
316,0.01%,91.98%,20,org.python.core.PyString._isupper,30160
317,0.01%,92.00%,20,java.lang.CharacterData00.toLowerCase,30168
318,0.01%,92.01%,20,org.python.core.__builtin__.range,30185
319,0.01%,92.03%,20,org.python.core.PyTuple.tuple_new,30207
320,0.01%,92.04%,19,org.python.core.__builtin__.range,30111
321,0.01%,92.05%,19,org.python.core.__builtin__.range,30111
322,0.01%,92.07%,19,java.lang.System.arraycopy,30114
323,0.01%,92.08%,19,Calls$py.test$13,30114
324,0.01%,92.10%,19,java.lang.AbstractStringBuilder.<init>,30115
325,0.01%,92.11%,19,org.python.core.PyUnicode.getSupplementaryCounts,30121
326,0.01%,92.12%,19,org.python.core.PyInteger.divide,30149
327,0.01%,92.14%,19,java.lang.System.arraycopy,30156
328,0.01%,92.15%,19,java.lang.String.charAt,30159
329,0.01%,92.17%,19,java.lang.String.charAt,30162
